0
Pseudomonas sp. SORT22
Pseudomonas entomophila
Pseudomonas rhodesiae
Burkholderia pyrrocinia
Bacillus halotolerans
Novosphingobium sp. 502str22
Cloacibacterium caeni
Aeromonas australiensis
Allochromatium tepidum
Erwinia rhapontici
Burkholderia sp. NK8
Oscillibacter sp. MM59
Oscillibacter sp. MM50
Pseudomonas sp. Pc102
Lysobacter helvus
Lysobacter caseinilyticus
Mycoplasma mycoides
Veillonella sp. S12025-13
Longicatena caecimuris
Nitrosospira sp. NRS527
Leptospira borgpetersenii
Cyanobium sp. M30B3
Telmatocola sphagniphila
Pseudomonas qingdaonensis
Pseudomonas syringae
Shewanella dokdonensis
Weissella ceti
Citrobacter sp. MGH105
Citrobacter sp. MGH103
Yersinia pestis
Prevotella ruminicola
Anthocerotibacter panamensis
Klebsiella sp. A52
Nocardiopsis sp. HDS5
Corynebacterium diphtheriae
Salmonella sp. SJTUF14523
Salmonella sp. SJTUF15034
Pseudomonas viridiflava
Cellulomonas sp. zg-ZUI188
Cellulomonas sp. zg-ZUI222
Nocardioides sp. zg-536
Lacticaseibacillus casei
Lacticaseibacillus chiayiensis
Lacticaseibacillus zeae
Mycolicibacterium neoaurum
Chryseobacterium indologenes
Nocardia tengchongensis
Dickeya dianthicola
Chlamydiifrater volucris
Chlamydiifrater phoenicopteri
Desulfuromonas sp. AOP6
Rhodococcus sp. USK13
Chlamydia sp. No. 12
Pasteurella atlantica
Chlamydia trachomatis
Serratia plymuthica
Acaryochloris marina
Treponema sp. OMZ 806
Polycladomyces abyssicola
Pseudomonas sp. Eqa60
Pseudomonas sp. Boi14
Oscillibacter sp. MM35
Mycolicibacterium sp. TY81
Catellatospora sp. IY07-71
Micromonospora endophytica (Xie et al. 2001) Li et al. 2019
Actinoplanes sp. NBRC 14428
Mycolicibacterium sp. TY66
Francisella halioticida
Pseudomonas sp. Ost2
Pseudomonas sp. Seg1
Pseudomonas sp. Cab53
Pseudomonas sp. St316
Pseudomonas sp. St386
Pseudomonas sp. St290
Actinocatenispora sera
Ferrigenium kumadai
Polymorphospora rubra
Actinoplanes ianthinogenes
Acinetobacter bouvetii
Enterobacter kobei
Staphylococcus auricularis
Nocardiopsis sp. HDS12
Nocardiopsis sp. Mg02
Lentilactobacillus buchneri
Streptomyces sp. V17-9
Streptomyces mirabilis
Sporosarcina sp. Marseille-Q4063
Agrococcus sp. Marseille-Q4369
Chloracidobacterium validum
Chloracidobacterium aggregatum
Chloracidobacterium sp. D
Chloracidobacterium thermophilum
Phocaeicola dorei
Bacteroides eggerthii
Bacteroides xylanisolvens
Sphingobium phenoxybenzoativorans
Synechocystis sp. PCC 7338
Rhodopseudomonas sp. SK50-23
Listeria innocua
Citrobacter portucalensis
Falsirhodobacter sp. PG104
Macrococcus canis
Mycobacterium spongiae
Kutzneria sp. CA-103260
Streptomyces lavendulae
Chitinophaga sp. KRA15-503
Exiguobacterium sp. PFWT01
Ralstonia pseudosolanacearum
Ralstonia syzygii
Sulfitobacter pseudonitzschiae
Lysinibacillus parviboronicapiens
Vibrio sp. B1ASS3
Brevibacillus sp. FJAT-54424
Burkholderia cenocepacia
Pseudomonas sp. JS425
Clostridium beijerinckii
Cupriavidus sp. KK10
Nocardia seriolae
Clostridium sp. C1
Shewanella sp. FJAT-54481
Moritella sp. 5
Moritella sp. 28
Moritella sp. 36
Sphingopyxis granuli
Staphylococcus delphini
Streptococcus thermophilus
Moritella sp. 24
Brevibacterium sp. SMBL_HHYL_HB1
Paenibacillus tritici
Erythrobacter sp. JK5
Klebsiella sp. P1927
Sulfitobacter sp. JK7-1
Photobacterium sp. GJ3
Klebsiella sp. P1954
Porphyromonas gingivalis
Prochloraceae cyanobacterium LD05
Citrobacter sp. BIDMC108
Wolbachia endosymbiont of Spodoptera picta
Miltoncostaea oceani
Miltoncostaea marina
Streptomyces alfalfae
Vallitalea pronyensis
Vallitalea guaymasensis
Pseudoalteromonas sp. M8
Pseudoalteromonas sp. A22
Borreliella afzelii
Bartonella quintana
