0
Vibrio cidicii
Pseudodesulfovibrio cashew
Maribellus comscasis
Roseovarius faecimaris
Bacillus sp. ms-22
Alteromonas mediterranea
Permianibacter aggregans
Streptococcus sp. CNU G3
Diaminobutyricimonas sp. LJ205
Pseudomonas alkylphenolica
Lysobacter soli
Casimicrobium huifangae
Dietzia sp. DQ12-45-1b
Phnomibacter ginsenosidimutans
Leclercia sp. Colony189
Bacillus albus
Bacillus luti
Streptomyces ficellus
Lentilactobacillus kefiri
Sphingomonas sp. LMO-1
Erwinia sp. J780
Leclercia sp. 119287
Leclercia sp. J807
Candidatus Syntrophocurvum alkaliphilum
Corynebacterium sp. 2039
Corynebacterium sp. 2019
Corynebacterium sp. 1959
Guyparkeria halophila
Bombella sp. ESL0368
Commensalibacter sp. ESL0284
Chlamydia avium
Corynebacterium rouxii
Rickettsia heilongjiangensis
Streptococcus sp. 116-D4
Melissococcus plutonius
Lachnospiraceae bacterium KM106-2
Spiroplasma tabanidicola
Corynebacterium xerosis
Capnocytophaga sp. FDAARGOS_737
Schaalia odontolytica
Gemella sanguinis
Lactobacillus jensenii
Yersinia intermedia
Staphylococcus simulans
Paenibacillus psychroresistens
Halomonas sp. PA16-9
Acinetobacter cumulans
Dickeya poaceiphila
Bacillus sp. DSL-17
Gimesia maris
Gimesia benthica
Cellulomonas sp. JZ18
Leptotrichia trevisanii
Gordonia sp. 135
Sphingobium sp. CAP-1
Ruania sp. HY164
Vibrio sp. THAF191c
Tetrasphaera sp. HKS02
Novosphingobium sp. Gsoil 351
Microlunatus sp. Gsoil 973
Rhodococcus sp. AQ5-07
Arthrobacter sp. AQ5-05
Desulfosarcina ovata
Desulfosarcina widdelii
Desulfosarcina alkanivorans
Methylocystis parvus
Methylocystis rosea
Otariodibacter oris
Bifidobacterium catenulatum
Sodaliphilus pleomorphus
Methylocystis heyeri
Vibrio sp. THAF191d
Pantoea sp. 201603H
Bacillus sp. N3536
Spiribacter sp. 2438
Micromonospora terminaliae
Komagataeibacter oboediens
Neisseria brasiliensis
Vibrio harveyi
Saccharopolyspora coralli
Paenibacillus xylanilyticus
Planctomycetales bacterium 10988
Polaromonas sp. Pch-P
Thermochromatium tepidum
Acidithiobacillus thiooxidans
Lactococcus petauri
Pseudactinotalea sp. HY158
Serratia proteamaculans
Streptomyces sp. SUK 48
Kluyvera intermedia
Actinomarinicola tropica
Agrobacterium sp. MA01
Litoricola lipolytica
Gracilibacillus sp. SCU50
Paenibacillus sp. B01
Lysinibacillus pakistanensis
Heliorestis convoluta
Citrobacter sp. S40-1-2
Citrobacter sp. H12-3-2
Aeromicrobium yanjiei
Pseudomonas sp. CFSAN084952
Limosilactobacillus gastricus
Pantoea eucalypti
Raineyella sp. CBA3103
Cobetia sp. AM6
Brucella sp. 2280
Sphingobacterium sp. dk4302
Alistipes sp. dk3624
Acinetobacter wanghuae
Nocardioides sp. dk884
Bartonella bacilliformis
Oceanihabitans sp. IOP_32
Streptomyces fagopyri
Candidatus Methylospira mobilis
Rhizobium grahamii
Saccharothrix syringae
Anabaena sp. YBS01
Pseudomonas pelagia
Nonomuraea nitratireducens
Lysinibacillus sphaericus
Fructilactobacillus sanfranciscensis
Fructilactobacillus fructivorans
Streptomyces sp. SYP-A7193
Amycolatopsis sp. YIM 10
Luteimicrobium xylanilyticum
Bacillaceae bacterium C05
Bacillaceae bacterium C02
Limosilactobacillus pontis
Brevundimonas sp. Bb-A
Halioglobus maricola
Nostoc sphaeroides
Shewanella sp. YLB-09
Sphingomonas ginsengisoli An et al. 2013
Microvirga thermotolerans
Pseudomonas sp. THAF7b
Maribius sp. THAF1
Pseudoalteromonas sp. THAF3
Halomonas sp. THAF5a
Roseovarius sp. THAF8
Roseovarius sp. THAF9
Bacillus sp. THAF10
Halomonas sp. THAF12
Roseovarius sp. THAF27
Erythrobacter sp. THAF29
Ruegeria sp. THAF33
Labrenzia sp. THAF35
Roseivivax sp. THAF30
Sulfitobacter sp. THAF37
Microbulbifer sp. THAF38
Marinobacter sp. THAF39
Roseivivax sp. THAF40
Pseudomonas sp. THAF42
Vibrio sp. THAF64
Labrenzia sp. THAF82
Vibrio aquimaris
Pseudomonas sp. THAF187a
Labrenzia sp. THAF187b
Vibrio sp. THAF190c
Labrenzia sp. THAF191a
Labrenzia sp. THAF191b
Mycobacterium sp. THAF192
Marinobacter sp. THAF197a
Roseivivax sp. THAF197b
Citrobacter telavivensis
Azotobacter salinestris
Kosakonia arachidis
Paenibacillus brasilensis
Paenibacillus cellulositrophicus
Paenibacillus guangzhouensis
Flavobacterium haoranii
Delftia tsuruhatensis
Limosilactobacillus vaginalis
Tenacibaculum mesophilum
Paracoccus kondratievae
Candidatus Gracilibacteria bacterium 28_42_T64
Streptomyces cinereoruber
Paraburkholderia sp. Msb3
Sulfurimonas sp. GYSZ_1
Sulfurimonas sp. 1-1N
Ancylobacter sp. TS-1
Schleiferilactobacillus harbinensis
Pseudomonas sp. SCB32
Streptomyces phaeolivaceus
Liquorilactobacillus mali
Azospira sp. I09
Lacipirellula parvula
Pseudomonas sp. KUIN-1
Pseudoalteromonas sp. A25
Bradyrhizobium sp. TM102
Bradyrhizobium sp. SG09
Enterobacter oligotrophicus
Sulfurimonas sp. NW10
Alloprevotella sp. E39
Enterobacter sichuanensis
Corynebacterium urogenitale
Latilactobacillus graminis
Deinococcus sp. AJ005
Brucella melitensis
Planctomycetes bacterium SRT547
Psychrobacillus glaciei
Pradoshia sp. D12
Pseudobutyrivibrio xylanivorans
Ensifer alkalisoli
Cronobacter sp. JZ38
Bradyrhizobium betae
Borrelia maritima
Moritella marina
Enterobacter sp. E76
Acidithiobacillus sp. 'AMD consortium'
Limosilactobacillus frumenti
Ornithinimicrobium pratense
Skermanella pratensis
Tepidiforma bonchosmolovskayae
Lapidilactobacillus dextrinicus
Actinomadura sp. WMMB 499
Pseudoalteromonas ruthenica
Pseudomonas denitrificans (nom. rej.)
Pseudomonas sp. C27(2019)
Synechococcus sp. RSCCF101
Psychrobacillus sp. AK 1817
Neisseria zalophi
Neisseria animalis
Cellvibrio sp. KY-GH-1
Cellvibrio sp. KY-YJ-3
Bartonella krasnovii
Eikenella exigua
Streptococcus ratti
Arachidicoccus sp. B3-10
Nocardioides cynanchi
Hypericibacter terrae
Hypericibacter adhaerens
Hymenobacter baengnokdamensis
Erwinia billingiae
Roseovarius indicus
Streptococcus sp. LPB0220
Nitrincola sp. KXZD1103
Microbacterium lushaniae
Microbacterium caowuchunii
Flintibacter sp. KGMB00164
Mesorhizobium terrae
Streptomyces venezuelae
Clostridium diolis
Streptomyces coeruleorubidus
Streptomyces vinaceus
Streptomyces platensis
Streptomyces spectabilis
Streptomyces galilaeus
Streptomyces nitrosporeus
Streptomyces subrutilus
Streptomyces viridosporus
Streptomyces kanamyceticus
Streptomyces viridifaciens
Streptomyces prasinus
Streptomyces fradiae
Streptomyces alboniger
Pseudomonas luteola
Dermabacter vaginalis
Paracoccus yeei
Pseudomonas oryzihabitans
Roseomonas mucosa
Yersinia pseudotuberculosis
Orientia tsutsugamushi
Alteromonas sp. RKMC-009
Bartonella kosoyi
Arcobacter porcinus
Streptomyces tendae
Paucilactobacillus nenjiangensis
Methylomonas rhizoryzae
Acinetobacter sp. C16S1
Thermodesulfobacterium sp. TA1
Neptunomonas concharum
Chlorobium phaeovibrioides
Beijerinckiaceae bacterium RH AL1
Bacillus sp. BS98
Paenibacillus sp. 37
Serinicoccus marinus
Thermosynechococcus sp. CL-1
Ectothiorhodospiraceae bacterium BW-2
Acidithiobacillus caldus
Glutamicibacter sp. ZJUTW
Pukyongiella litopenaei
Francisella marina
Flavobacterium nitrogenifigens
Paenibacillus antarcticus
Acetobacter sp. KACC 21233
Protaetiibacter larvae
Labrys sp. KNU-23
Francisella orientalis
Geobacter sp. FeAm09
Kosakonia radicincitans
Oceanispirochaeta crateris
Thiospirochaeta perfilievii
Sphaerotilus natans
Mycobacterium sp. ELW1
Mycobacterium grossiae
Swingsia sp. F3b2
Leptotrichia shahii
Clostridium hylemonae
Chromobacterium paludis
Azospirillum brasilense
Bacillus sp. JAS24-2
Bacillus sp. SH8-8
Bacillus sp. AR4-2
Sphingobacterium hotanense
Oryzomicrobium terrae
Cupriavidus campinensis
Microbacterium sp. 1S1
Enterobacter chengduensis
Limnoglobus roseus
Bosea sp. F3-2
Kushneria phosphatilytica
Olivibacter sp. LS-1
Achromobacter insolitus
Wolbachia endosymbiont of Chrysomya megacephala
Campylobacter volucris
Campylobacter sputorum
Pedobacter sp. CJ43
Crassaminicella sp. SY095
Marinobacter fonticola
Dolichospermum sp. UHCC 0315A
Pigmentiphaga aceris
Gluconobacter thailandicus
Dermacoccus abyssi
Mariniblastus fucicola
Aquisphaera giovannonii
Bradyrhizobium paxllaeri
Spiroplasma chinense
Chitinophaga sp. XS-30
Sulfurospirillum multivorans
Aquicella siphonis
Aquicella lusitana
Providencia huaxiensis
Streptomyces xiamenensis
Nocardioides sp. S-1144
Acinetobacter defluvii
Halomonas axialensis
Octadecabacter sp. SW4
Roseimaritima ulvae
Gemmata obscuriglobus
Streptomyces rochei
Acetobacter oryzoeni
Anseongella ginsenosidimutans
Wolbachia endosymbiont of Drosophila ananassae
Secundilactobacillus malefermentans
Chitinolyticbacter meiyuanensis
Cellulomonas sp. Y8
Desulfovibrio sp. IOR2
Salinibacterium sp. dk2585
Serinicoccus profundi
Ruania sp. HY168
Flavobacterium alkalisoli
Rhizobium sp. WL3
Methylobacterium sp. WL1
Enterococcus sp. DA9
Anaerostipes hadrus
Roseburia hominis
Pluralibacter gergoviae
Lachnoanaerobaculum umeaense
Phoenicibacter congonensis
Paenibacillus odorifer
Laribacter hongkongensis
Leminorella richardii
Gordonibacter urolithinfaciens
Bifidobacterium thermophilum
Campylobacter lanienae
Malaciobacter canalis
Terriglobus albidus
Rhodanobacter glycinis
Murdochiella vaginalis
Corynebacterium ammoniagenes
Planococcus massiliensis
Youhaiella tibetensis
Sphingomonas xanthus
Bacillus dafuensis
Antarcticibacterium arcticum
Persicimonas caeni
Bradymonadales bacterium V1718
Leptotrichia hongkongensis
Leptotrichia hofstadii
Pseudoleptotrichia goodfellowii
Rickettsia asiatica
Pantoea sp. CCBC3-3-1
Mannheimia haemolytica
Mucilaginibacter ginsenosidivorax
Arachidicoccus ginsenosidivorans
Panacibacter ginsenosidivorans
Mucilaginibacter ginsenosidivorans
Flavisolibacter ginsenosidimutans
Baekduia soli
Corynebacterium nuruki
Pseudobacter ginsenosidimutans
Weissella hellenica
Loigolactobacillus coryniformis
Leuconostoc lactis
Pistricoccus aurantiacus
Leuconostoc carnosum
Novosphingobium ginsenosidimutans
Comamonas sp. NLF-7-7
Nesterenkonia sp. NBAIMH1
Corynebacterium sp. sy039
Euhalothece natronophila
Noviherbaspirillum sp. UKPF54
Humibacter sp. WJ7-1
Devosia ginsengisoli
Sphingomonas panacisoli
Streptomyces sp. WAC08241
Streptomyces sp. WAC06273
Arthrobacter sp. UKPF54-2
Streptomyces qinzhouensis
Qingshengfaniella alkalisoli
Glutamicibacter halophytocola
Micromonospora sp. HM134
Brevibacillus laterosporus
Candidatus Pelagibacter sp. FZCC0015
Oxalobacter formigenes
Sphingomonas sp. XS-10
Pandoraea pnomenusa
Oerskovia sp. KBS0722
Luteimonas granuli
Pedobacter sp. KBS0701
Yersinia sp. KBS0713
Bradyrhizobium sp. KBS0727
Arthrobacter sp. KBS0702
Flavobacterium sp. KBS0721
Bradyrhizobium sp. KBS0725
Pseudomonas sp. KBS0802
Bacillus sp. KBS0812
Burkholderia sp. KBS0801
Pseudomonas sp. KBS0707
Micrococcus sp. KBS0714
Pseudomonas sp. ATCC 43928
Phycisphaerae bacterium RAS2
Planctomycetes bacterium K2D
Planctopirus ephydatiae
Aureliella helgolandensis
Gimesia panareensis
Rosistilla oblonga
Planctomycetes bacterium Poly30
Planctomycetes bacterium Pla86
Lignipirellula cremea
Pirellulimonas nuda
Planctomycetes bacterium Pla163
Polystyrenella longa
Planctomycetes bacterium Pla133
Planctomycetes bacterium Pan265
Aeoliella mucimassa
Planctomycetes bacterium Pan216
Symmachiella dynata
Maioricimonas rarisocia
Anatilimnocola aggregata
Poriferisphaera corsica
Urbifossiella limnaea
Planctomycetes bacterium K23_9
Rubripirellula lacrimiformis
Adhaeretor mobilis
Roseimaritima multifibrata
Erysipelothrix rhusiopathiae
Brevibacillus brevis
Sporomusa termitida
Corynebacterium sanguinis
Pseudomonas sp. BJP69
Shewanella donghaensis
Tomitella sp. HY188
Gordonia zhaorongruii
Rhodococcus sp. WB9
Alcaligenaceae bacterium SJ-26
Paraburkholderia megapolitana
Legionella geestiana
Methylacidiphilum kamchatkense
Chitinimonas arctica
Bacillus sp. BD59S
Microlunatus sp. KUDC0627
Chryseobacterium sp. SNU WT5
Nocardia otitidiscaviarum
Legionella israelensis
Bacteroides intestinalis
Paraoceanicella profunda
Radiobacillus deserti
Bradyrhizobium cosmicum
Catenovulum sediminis
Geobacillus sp. E263
Thalassotalea sp. PS06
Ferrovibrio terrae
Formosa sediminum
Ornithinimicrobium sp. H23M54
Shewanella sp. YLB-06
Microbulbifer sp. GL-2
Psychrobacter sp. KH172YL61
Halomonas sulfidaeris
Vibrio rotiferianus
Dialister hominis
Rubrobacter xylanophilus
Enterobacter sp. 18A13
Aliarcobacter butzleri
Changchengzhania lutea
Rhodoferax sediminis
Streptomyces malaysiensis
Agrobacterium sp. T29
Acinetobacter tandoii
Spirosoma sp. KCTC 42546
Lactococcus sp. KACC 19320
Leptospira weilii
Bdellovibrio sp. ZAP7
Bdellovibrio sp. NC01
Bacteriovorax stolpii
Ureaplasma urealyticum
Lactococcus paracarnosus
Lactococcus carnosus
Acinetobacter radioresistens
Nitrosomonas stercoris
Leisingera aquaemixtae
Methylorubrum populi
Salicibibacter halophilus
Stella humosa
Ureaplasma parvum
Streptomyces calvus
Raoultella electrica
Cytobacillus ciccensis
Echinicola sp. LN3S3
Brevundimonas sp. M20
Lysobacter alkalisoli
Pseudomonas azotoformans
Alistipes communis
Alistipes onderdonkii
Alistipes dispar
Porphyrobacter sp. YT40
Oecophyllibacter saccharovorans
Swingsia samuiensis
Neokomagataea tanensis
Wolbachia endosymbiont of Carposina sasakii
Saccharibacillus brassicae
Rhizobium sp. NIBRBAC000502774
Pseudarthrobacter sp. NIBRBAC000502770
Labrenzia sp. PHM005
Janthinobacterium tructae
Pseudarthrobacter sp. NIBRBAC000502772
Pseudarthrobacter sp. NIBRBAC000502771
Pseudomonas sp. NIBRBAC000502773
Streptomyces griseorubiginosus
Microbacterium sp. SGAir0570
Luteimonas yindakuii
Pseudomonas sp. SGAir0191
Azoarcus sp. DD4
Nocardioides sambongensis
Nocardioides humi
Shewanella marisflavi
Shewanella sp. SNU WT4
Arcobacter anaerophilus
Citrobacter sp. CF971
Luteibacter pinisoli
Microbacterium foliorum
Shewanella polaris
Paremcibacter congregatus
Brevibacterium linens
Caminibacter pacificus
Streptococcus sp. NCTC 11567
Streptococcus pseudoporcinus
Herbaspirillum seropedicae
Georgenia sp. Z443
Hymenobacter sp. DG01
Oceanicola sp. D3
Pseudomonas sp. SWI7
Clostridium thermarum
Mesorhizobium sp. 8
Longibaculum sp. KGMB06250
Georgenia sp. Z294
Hymenobacter jejuensis
Serinicoccus chungangensis
Thermomonas sp. SY21
Sutterella faecalis
Agromyces laixinhei
Paracoccus liaowanqingii
Moorella thermoacetica
Salinimonas iocasae
Streptococcus sp. 1643
Mycoplasma nasistruthionis
Antarcticibacterium flavum
Kocuria rosea
Bacillus spizizenii
Pseudomonas sp. MPC6
Glutamicibacter creatinolyticus
Elizabethkingia sp. JS20170427COW
Streptomyces sp. YIM 121038
Flavobacteriaceae bacterium 10Alg115
Plantibacter sp. M259
Sulfitobacter sp. BSw21498
Caloramator sp. E03
Acidovorax citrulli
Nocardioides sp. dk3136
Exiguobacterium mexicanum
Inhella inkyongensis
Flavobacteriaceae bacterium F202Z8
Methylotuvimicrobium buryatense
Eubacterium maltosivorans
Acidipropionibacterium acidipropionici
Acidipropionibacterium jensenii
Thermoactinomyces vulgaris
Schaalia cardiffensis
Hungatella hathewayi
Lactobacillus paragasseri
Thiomicrorhabdus sediminis
Treponema pallidum
Citricoccus sp. SGAir0253
Pseudoalteromonas sp. 16-SW-7
Luteithermobacter gelatinilyticus
Blautia sp. SC05B48
Rhodoluna limnophila
Caminibacter mediatlanticus
Enterococcus sp. M190262
Escherichia sp. E4742
Streptococcus porcinus
Streptococcus australis
Sphingobacterium thalpophilum
Hathewaya histolytica
Neisseria lactamica
Sphingobacterium daejeonense
Brevundimonas vancanneytii
Candidatus Saccharibacteria bacterium oral taxon 957
TM7 phylum sp. oral taxon 952
Actinomyces sp. oral taxon 171
Jejubacter calystegiae
Alkalihalobacillus halodurans
Brucella sp. 10RB9215
Ruminococcus sp. JE7A12
Paenibacillus sp. HB172198
Priestia flexa
Streptomyces exfoliatus
Lysinibacillus sp. SGAir0095
Curtobacterium sp. SGAir0471
Streptomyces sp. SGAir0924
Brachybacterium sp. SGAir0954
Agrococcus sp. SGAir0287
Brenneria nigrifluens
Brenneria rubrifaciens
Rhodococcus sp. SGAir0479
Brevundimonas sp. SGAir0440
Citrobacter sp. TBCP-5362
Companilactobacillus zhachilii
Halomicronema hongdechloris
Mycoplasma phocicerebrale
Clostridium sp. AWRP
Desulfoglaeba alkanexedens
Microbacterium sp. RG1
Duncaniella sp. B8
Echinicola rosea
Pantoea sp. SO10
Coxiella burnetii
Burkholderia sp. DHOD12
Anaerostipes rhamnosivorans
Massilia umbonata
Brevibacterium sp. CS2
Salinivibrio kushneri
Arthrobacter sp. 24S4-2
Vibrio neocaledonicus
Pseudorhodobacter turbinis
Elizabethkingia sp. 2-6
Shewanella sp. MEBiC00475
Ethanoligenens harbinense
Streptomyces griseoviridis
Marinomonas sp. FW-1
Salinimonas lutimaris
Spiroplasma melliferum
Neisseria subflava
Neisseria flavescens
Mangrovivirga cuniculi
Geobacillus kaustophilus
Providencia heimbachae
Aquitalea aquatilis
Bacillus sp. S3
Pseudolabrys sp. FHR47
Novosphingobium sp. EMRT-2
Vagococcus zengguangii
Hankyongella ginsenosidimutans
Vibrio cyclitrophicus
Phreatobacter stygius
Synechococcus sp. CB0101
Mycobacteroides salmoniphilum
Azospirillum sp. TSA2s
Azospirillum sp. TSH100
Aeromonas schubertii
Salinivibrio sp. YCSC6
Hydrocarboniclastica marina
Psychroserpens sp. NJDZ02
Streptococcus pasteurianus
Streptomyces hawaiiensis
Tenacibaculum maritimum
Campylobacter sp. RM6914
Campylobacter showae
Campylobacter rectus
Pseudomonas sp. DG56-2
Bacillus sp. DU-106
Arthrobacter sp. PAMC25564
Cellulomonas shaoxiangyii
Actinomyces procaprae
Flavobacterium sangjuense
Wolbachia endosymbiont of Drosophila mauritiana
Wolbachia endosymbiont of Brugia malayi
Rhodococcus sp. PAMC28707
Sphingopyxis sp. PAMC25046
Rhodococcus sp. PAMC28705
Hydrogenophaga sp. PAMC20947
Sphingomonas sp. PAMC26645
Sphingobium sp. PAMC28499
Stenotrophomonas sp. PAMC25021
Psychrobacter sp. PAMC27889
Corynebacterium endometrii
Streptomyces sp. SS52
Vagococcus sp. CF-49
Pantoea vagans
Pseudomonas viciae
Hydrogenovibrio crunogenus
Nocardioides daphniae
Serratia nematodiphila
Arsenophonus nasoniae
Thalassotalea sp. HSM 43
Boseongicola sp. CCM32
Citrobacter tructae
Serratia quinivorans
Thermus caldilimi
Nocardioides seonyuensis
Brevundimonas sp. MF30-B
Nocardia sp. CS682
Thermaerobacter sp. FW80
Nocardioides euryhalodurans
Microbacterium wangchenii
Terasakiella sp. SH-1
Microbacterium sediminis
Kerstersia gyiorum
Erwinia sp. QL-Z3
Leuconostoc kimchii
Leisingera sp. NJS201
Pseudomonas sp. S150
Ornithinimicrobium flavum
Sphingobacterium sp. CZ-2
Streptomyces sp. S501
Dickeya aquatica
Actinobacillus indolicus
Saccharomonospora xinjiangensis
Methylocella tundrae
Candidatus Erwinia haradaeae
Roseburia intestinalis
Nitrosococcus wardiae
Brevundimonas naejangsanensis
Sphingobacterium psychroaquaticum
Massilia plicata
Spiroplasma gladiatoris
Pseudomonas sp. SXM-1
Sporosarcina pasteurii
Ruthenibacterium lactatiformans
Eubacterium limosum
Herbaspirillum huttiense
Paenisporosarcina antarctica
Acetilactobacillus jinshanensis
Chryseobacterium salivictor
Parashewanella tropica
Qipengyuania sediminis
Parashewanella spongiae
Weissella cryptocerci
Flavobacterium nackdongense
Hymenobacter radiodurans
Sphingomonas sp. AAP5
Hydrogenophaga pseudoflava
Citrobacter arsenatis
Marinobacter sp. JH2
Komagataeibacter saccharivorans
Pseudocnuella soli
Stenotrophomonas sp. ASS1
Campylobacter helveticus
Rheinheimera sp. D18
Myroides odoratimimus
Roseitalea porphyridii
Aquitalea sp. USM4
Clostridium chauvoei
Pseudoalteromonas carrageenovora
Rhodococcus sp. ABRD24
Pseudoalteromonas sp. DL-6
Streptomyces seoulensis
Haematobacter massiliensis
Kocuria indica
Bacteroides sp. A1C1
Agrobacterium sp. 33MFTa1.1
Streptomonospora sp. M2
Lichenihabitans psoromatis
Sterolibacteriaceae bacterium M52
Citrobacter sp. ABFQG
Egibacter rhizosphaerae
Ornithinimicrobium sp. HY006
Massilia albidiflava
Bacillus sp. SYJ
Paraprevotella xylaniphila
Fusobacterium ulcerans
Nocardia cyriacigeorgica
Chryseobacterium taihuense
Egicoccus halophilus
Verrucomicrobia bacterium S94
endosymbiont of Euscepes postfasciatus
endosymbiont of Pachyrhynchus infernalis
endosymbiont of Sipalinus gigas
Calothrix sp. NIES-4101
Litorilituus sediminis
Jinshanibacter zhutongyuii
Neochlamydia sp. S13
Cohnella abietis
Halomonas olivaria
Klebsiella huaxiensis
Janibacter limosus
Shewanella maritima
Thiomicrorhabdus indica
Mycoplasmopsis phocirhinis
Thalassococcus sp. S3
Pseudomonas sp. SNU WT1
'Catharanthus roseus' aster yellows phytoplasma
Aliarcobacter thereius
Malaciobacter pacificus
Leucobacter triazinivorans
Ktedonosporobacter rubrisoli
Iodobacter fluviatilis
Pandoraea sp. XY-2
Pseudolysobacter antarcticus
Intestinimonas butyriciproducens
Acholeplasma hippikon
Acholeplasma axanthum
Mycoplasma cloacale
Mycoplasmopsis arginini
Mycoplasma arthritidis
Mycoplasmopsis columbinasalis
Mycoplasmopsis meleagridis
Mycoplasmopsis columbina
Mycoplasmopsis columboralis
Mycoplasmopsis maculosa
Mycoplasmopsis anatis
Mycoplasmopsis citelli
Mycoplasmopsis gallopavonis
Mycoplasmopsis glycophila
Mycoplasmopsis californica
Mycoplasmopsis canis
Mycoplasmopsis pulmonis
Mycoplasma conjunctivae
Mycoplasmopsis cynos
Mycoplasmopsis fermentans
Mycoplasmopsis bovigenitalium
Mycoplasma dispar
Mycoplasmopsis bovirhinis
Mycoplasma neurolyticum
Mycoplasma orale
Alteromonas sp. 76-1
Muriicola soli
Mesorhizobium sp. Pch-S
Methylibium sp. Pch-M
Desulfovibrio carbinolicus
Methylovirgula ligni
Sorangium cellulosum
Sphingosinicella sp. BN140058
Agromyces protaetiae
Xylanimicrobium sp. FW10M-9
Paenibacillus protaetiae
Xylanimonas allomyrinae
Microbacterium protaetiae
Hahella sp. KA22
Bifidobacterium pullorum
Pseudomonas sp. DTU12.3
Candidatus Pseudomonas adelgestsugas
Yersinia hibernica
Leisingera sp. NJS204
Luteimonas sp. YGD11-2
Salinibacterium sp. UTAS2018
Paenibacillus chitinolyticus
Brevibacillus agri
Neobacillus thermocopriae
Proteus hauseri
Bacillus vallismortis
Bradyrhizobium guangzhouense
Bradyrhizobium zhanjiangense
Bradyrhizobium guangxiense
Corynebacterium pelargi
Janthinobacterium sp. 17J80-10
Dyella sp. M7H15-1
Streptomyces sp. M2
Streptomyces sp. endophyte_N2
Corallococcus coralloides
Bacillus sp. WR11
Caproiciproducens sp. NJN-50
Aminipila sp. JN-18
Tissierella sp. JN-28
Clostridium sp. JN-9
Bacillus glycinifermentans
Candidatus Vampirococcus archaeovorus
Candidatus Bipolaricaulis sibiricus
Rhizobium acidisoli
Actinomyces qiguomingii
Bacillus aerophilus
Halobacillus litoralis
Clostridium septicum
Gudongella oleilytica
Kosakonia cowanii
Ornithobacterium rhinotracheale
Geovibrio thiophilus
Paracoccus denitrificans
Hydrogenovibrio thermophilus
Leucobacter muris
Pusillimonas thiosulfatoxidans
Vibrio chagasii
Aequorivita sp. H23M31
Clostridium sp. CT4
Nocardioides sp. HY056
Apibacter raozihei
Pseudoalteromonas sp. R3
Gordonia alkanivorans
Pseudomonas sp. RU47
Rathayibacter iranicus
Rathayibacter rathayi
Bdellovibrio sp. qaytius
Actinomyces wuliandei
Pseudomonadaceae bacterium SI-3
Klebsiella sp. LY
Caulobacter sp. FWC26
Paracoccus sp. Arc7-R13
Salmonella sp. SSDFZ69
Salmonella sp. SSDFZ54
Ligilactobacillus agilis
Fusobacterium necrophorum
Brevibacterium frigoritolerans
Nautilia sp. PV-1
Peribacillus asahii
Agromyces sp. LHK192
Parasedimentitalea marina
Enterobacter sp. N18-03635
Rhodococcus sp. X156
Devosia sp. 1566
Thiomicrorhabdus aquaedulcis
Arthrobacter sp. MN05-02
Actinoplanes sp. OR16
Sulfurivermis fontis
Glycocaulis alkaliphilus
Microbacterium oxydans
Neobacillus mesonae
Xanthomonas sp. ISO98C4
Lactobacillus amylolyticus
Brevibacterium aurantiacum
Caldicellulosiruptor changbaiensis
Marinobacter sp. NP-4(2019)
Achromobacter spanius
Streptomyces lydicus
Entomomonas moraniae
Microbacterium lemovicicum
Butyricimonas faecalis
Vibrio anguillarum
Paenibacillus lutimineralis
Anoxybacter fermentans
Thiomicrospira sp. S5
Nostoc sp. HK-01
Thermostichus vulcanus
Cellulosilyticum sp. WCF-2
Rheinheimera sp. LHK132
Marinobacter salarius
Xanthomonas vasicola
Moraxella catarrhalis
Colwellia sp. Arc7-635
Flaviflexus sp. H23T48
Silicimonas algicola
Streptomyces luteoverticillatus
Maribacter sp. MJ134
Flammeovirga pectinis
Ureibacillus thermosphaericus
Acinetobacter guillouiae
Sulfuritortus calidifontis
Sulfuriflexus mobilis
Asticcacaulis excentricus
Sphingosinicella microcystinivorans
Sphingobium amiense
Aerosticca soli
Pseudanabaena sp. ABRG5-3
Pelolinea submarina
Parolsenella catena
Mycoavidus cysteinexigens
Methylomusa anaerophila
Candidatus Rickettsiella viridis
Desulfovibrio ferrophilus
Blastochloris tepida
Neisseria weaveri
Acidithiobacillus ferridurans
Campylobacter insulaenigrae
Pragia fontium
Bartonella vinsonii
Bartonella elizabethae
Peptoniphilus ivorii
Sterolibacteriaceae bacterium J5B
Helicobacter cholecystus
Capnocytophaga canimorsus
Actinobacillus delphinicola
Helicobacter pullorum
Neisseria animaloris
Porphyromonas cangingivalis
Kaistella jeonii
Nocardiopsis dassonvillei
Capnocytophaga sputigena
Actinobacillus equuli
Citrobacter youngae
Listeria grayi
Actinomyces viscosus
Trueperella bialowiezensis
Kurthia zopfii
Propionibacterium australiense
Parvimonas micra
Kaistella antarctica
Tsukamurella tyrosinosolvens
Legionella adelaidensis
Kocuria rhizophila
Corynebacterium segmentosum
Corynebacterium kutscheri
Rodentibacter pneumotropicus
Weeksella virosa
Providencia rustigianii
Listeria ivanovii
Pseudomonas taetrolens
Fusobacterium varium
Cellulomonas fimi
Legionella sainthelensi
Chryseobacterium nakagawai
Prevotella oris
Gardnerella vaginalis
Legionella jordanis
Slackia heliotrinireducens
Lautropia mirabilis
Aeromonas encheleia
Veillonella dispar
Legionella spiritensis
Wolinella succinogenes
Haemophilus ducreyi
Cardiobacterium hominis
Actinomyces slackii
Pasteurella aerogenes
Actinomyces israelii
